,deptCode,courseNum,description
85,ACE,345,"Introduction to financial decision-making for small businesses and individuals. Examines financial statement preparation and analysis; capital structure (use of debt and equity); investment analysis and portfolio theory; time value of money; interest rates and term structure; asset markets (pricing theories); evaluation of financial risk and insurance concepts, and an introduction to credit markets and financial capital suppliers. In addition, there is a class project involving a visit to either a lender or a financial planner/advisor, and other experiences to introduce students to services and careers in financial sectors. "
86,ACE,346,"Explores the federal tax system, including income, social security, Medicare, and estate taxes, and state and local tax systems. Students learn basic tax principles, public policy issues embedded in the tax systems, and how tax law influences financial plans and decisions. Helps students make wiser financial decisions through increased understanding of the tax impacts of those decisions, participate knowledgeably in public debates surrounding tax policy, and prepare for careers as financial planners. "
87,ACE,360,"Spreadsheet development and modeling skills intended for economics and finance applications. Advanced uses of spreadsheet software, development of user-defined functions, use of Visual Basic and comparable external interface languages, data query designs, and advanced data analyses, summary and presentation skills are stressed. Iintended to serve as a prerequisite for advanced modeling courses in specific disciplinary areas. "
88,ACE,396,"Individual research, special problems, thesis, development and/or design work under the direction of the Honors advisor. "
89,ACE,398,Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics. 
90,ACE,406,"Examination of environmental law issues. Topics include common-law pollution control; role of administrative agencies and courts; federal and state power; air and water pollution; regulation of toxic substances; protection of land, soil and other natural resources. "
91,ACE,411,"Relationship between economic development and environmental sustainability through application of cost-benefit analysis and environmental economics. Developing and developed country issues are considered with an emphasis on hands-on applications of project appraisal, social benefit-cost analysis, green accounting, and non-market valuation. "
92,ACE,427,A comprehensive and in-depth survey of commodity price analysis with emphasis on the fundamental factors affecting prices of agricultural products; sources of information relating to production and demand factors; government activities as they relate to prices of agricultural products; technical analysis of agricultural product prices; and market efficiency and forecasting. 
93,ACE,428,Development of futures trading; operation and governance of commodity exchanges; economic functions of futures trading; operational procedures and problems in using futures markets; public regulation of futures trading; evaluation of market performance. 
94,ACE,432,Students develop expertise in evaluating and making decisions similar to those faced by farm operators and managers. 
95,ACE,435,"Examination of the economic and strategic management of food, textile, and agribusiness firms within a global business environment; topics include the global business environment and its institutions, organizational strategies and policies, and business operations in global agricultural, food and textile industries. "
96,ACE,444,"Advanced skills in and understanding of asset pricing, equity and debt investment, portfolio theory and diversification, asset allocation, financial risk management, and financial intermediation and regulation emphasizing applications in financial planning and agricultural finance. "
97,ACE,445,"Financial planning philosophies, techniques, and procedures. Course uses case studies and problem-solving activities to construct financial plans for individuals and families in various life cycle stages and family structures. "
98,ACE,452,Same as ECON 452. See ECON 452.
99,ACE,455,"Economic theory used to analyze trends and patterns of international trade in major agricultural commodities and to understand interaction between economic development, policy, and trade; welfare implications of policies affecting production, consumption, and trade; implications of protectionism, free trade, regional trade blocs, and multilateral trade liberalization, and the role for international trade institutions. "
100,ACE,496,"Cooperatively supervised field experience in management and administration in a textile marketing business. Only four hours may be applied to the total required for a graduate degree. At the undergraduate level, up to four hours may be counted toward the hours required in Agricultural and Consumer Economics. "
101,ACE,499,Group discussion or an experimental course on a special topic in agricultural and consumer economics. 
102,ACE,500,"Provides an understanding of theory of the firm, consumer economics and various market models necessary to conduct applied professional economic research with special emphasis on applications relevant to agricultural, consumer, development, and resource economics. Multivariate calculus and optimization methods are used."
103,ACE,501,Applications of the theory of economic behavior under uncertainty and asymmetric information. Analysis of individual decision making under uncertainty includes: tests of the expected utility hypothesis; comparative statistics of changes in risk preferences and risk; and moment based models of decision making. Analysis of economic equilibrium under uncertainty and asymmetric information includes tests for complete markets and applications of noncooperative game theory. 
104,ACE,516,Same as ECON 549. See ECON 549.
105,ACE,520,"Examination of selected economic problems in marketing agricultural products and relevant theory and empirical methods for analyzing and interpreting research results. Topics include: operational efficiency in marketing firms and industries; efficient allocation over space, form, and time; price making institutions; and research in demand stimulation and selected issues in trade. "
106,ACE,531,"The problem of identification. Methods for impact evaluation, including randomized field experiments, propensity score matching, differences in differences, instrumental variables, and regression discontinuity. Includes exercises using the econometric software program STATA. "
107,ACE,562,"Application of simple regression methods to problems in agricultural and consumer economics with emphasis on foundational probability, random variable, and distribution concepts, development of the simple, two-variable regression model; estimation of model parameters; hypothesis testing; and prediction. "
108,ACE,564,"Application of multiple regression methods to problems in agricultural and consumer economics with emphasis on extensions to the simple, two-variable regression model, development of the multiple regression model; and problems created by violations of basic model assumptions. "
109,ACE,569,"This course is intended  to help doctoral candidates transition into careers in or out of academia. The class covers job market processes and strategies, presentation skills, teaching philosophies, and development of research trajectories. "
110,ACE,571,"Discussion of current topics and review of the literature in household economics. Relevant topics include marriage, divorce, intergenerational transfers, investment in children, migration. "
111,ACE,591,Individual research work under the supervision of an appropriate member of the faculty. 
112,ACE,592,Group instruction on a special topic under the direction of one or more members of the faculty. 
113,ACE,594,Participation in a seminar or workshop with other graduate students and faculty members. 
114,ACE,599,Individual research under supervision of members of the graduate teaching faculty in their respective fields. 
115,ACES,101,"Study of contemporary issues in the human, food and natural resource systems, and an overview of the role of the College of Agricultural, Consumer and Environmental Sciences and the University of Illinois in these systems. "
116,ACES,102,"An objective approach towards critical systems thinking and towards collaborative analysis across multiple disciplines for the development, production, preparation, consumption, and utilization of food, feed, fiber and energy, while managing the disposal and reuse of byproducts, within complex socioeconomic, ecological and environmental systems. Students will be introduced to the fundamentals of modern crop, livestock, and other agricultural production systems, and consider the future challenges and opportunities in producing enough for a growing world population."
117,ACES,179,"An introduction to the history of agriculture in the rural Midwest with an emphasis on Illinois based on an analysis of the attitudes of indigenous peoples, immigrants, farmers and agribusiness interests toward land, labor, crop selection and production, and technology. The course compares the regional characteristics of the rural Midwest to other U.S. regions, and explores factors that created the American ""breadbasket,"" a region recognized for the commodities, equipment and ideas that it exports to the world."
118,ACES,199,"Experimental course on a special topic in the College of Agricultural, Consumer and Environmental Sciences. "
119,ACES,200,Introduction to College of ACES and campus resources for students new to the College of ACES. Required of all off campus transfer students and optional for Inter College Transfer students. First eight weeks course. 
120,ACES,293,Supervised learning experience designed for ACES students registering for an academic term abroad and/or for non-degree exchange students enrolling for an academic term at Illinois. The nature of the experience and the setting in which it takes place must be approved in advance by ACES faculty and by representative(s) of institutions/organizations/agencies that cooperate with the College of ACES in student exchange/study abroad programs. 
121,ACES,295,"Individual research, special problems, thesis, development and/or design work under the supervision of an appropriate member of the faculty. "
122,ACES,298,"International experience in agricultural, consumer and environmental sciences related areas involving foreign travel and study without enrollment in another institution. Experience must be planned and approved in advance through consultation with a College of Agricultural, Consumer and Environmental Sciences faculty member. "
123,ACES,299,"Provides campus credit in the College of Agricultural, Consumer and Environmental Sciences for study at accredited foreign institutions. Final determination of credit granted is made upon the student's successful completion of work. "
124,ADV,150,"Introduction to the practice and profession of advertising. Course material covers various functional areas of advertising and integrated brand promotion, including account planning, creative, media, research, consumer behavior, sales promotion and interactive advertising. Topics also include how advertising relates to society in cultural, social, ethical and regulatory contexts. Open to all undergraduate majors."
125,ADV,199,"May be repeated to a maximum of 12 hours in separate semesters, if topics vary."
126,ADV,270,"This course focuses on the development of the sales process and the role of sales and sales people within organizations. It will also consider consultative and persuasive selling and interpersonal relationship building. It will include sales proposals, and simulation exercises that will reinforce concepts learned within the classroom. It will also feature exposure to sales experts from different areas of business."
127,ADV,281,"Introduces students to the wide spectrum of qualitative and quantitative research techniques that are commonly used in the advertising industry. In addition to examining the principles, methods and techniques of advertising research, the course will address issues such as when research should and should not be conducted, analyzing data sets, forming meaningful research questions, figuring out how to answer the questions, and presenting the answers to these questions in a clear and compelling manner. "
128,ADV,283,"Designed to help students acquire brand decision-making skills. Advertising and marketing theories, practical problems and traditional cases will be studied as they learn to build a strong brand strategy that will lead to a strong brand advertising strategy. This encompasses every facet of making advertising decisions for a brand. This involves understanding the content a consumer requires, how the consumer will come in contact with the brand, and what is the goal of the connection between consumer and content/contact. "
129,ADV,284,"Course focuses on methods of eliciting consumer insight. In particular, this class introduces the process and applied outcomes of consumer insight in terms of building brand strategy. Techniques for persuasive presentation of insight will also be introduced. "
130,ADV,305,"This introductory course systematically examines a wide range of topics related to the proliferation and use of digital media in a networked world, including psychology, social relationships, culture, economics, politics, and philosophy. It is designed to prepare students for living and working in an increasingly mediated society in which digital technologies are omnipresent, yet ubiquitous. While the scope of this course is highly interdisciplinary, its emphasis will be placed on specialist knowledge for media professions such as advertising and journalism. "
131,ADV,310,"Introduces the student to the practice and profession of public relations. Course material covers topics such as the history of public relations, the role of law and ethics in public relations, and theories that guide public relations research and practice. The course will also introduce roles played by public relations practitioners within organizations, such as media relations, consumer relations, employee relations, community relations, and investor relations."
132,ADV,311,"Analyzes the most recognized and successful direct mail, print, radio, television and digital advertising campaigns of the 20th and early 21st centuries. Includes particular attention to their strategy and development as well as their social, cultural, and economic impact."
133,ADV,320,"This course addresses conceptual and methodological issues related to the management of sales within organizations. Responsibilities, function and skills necessary to be an effective sales manager are covered, including an evaluation of sales organization structures, recruiting, selecting, testing, and training of salespeople. Related topics include compensation plans, controlling expenses, sales forecasting/projections, routing, quotas, ethics and motivation. It will consist of lectures, role playing exercises, and also may include guest lectures from industry leaders/alumni with experience in sales management. "
134,ADV,350,"Focuses on the strategy of crafting and delivering PR messages to various audiences with special emphasis on pre-writing, preparation, revision and presentation. "
135,ADV,370,"This course focuses on different topics related to consumer behavior management, and the consumer's relationships to the sales process. It will include case studies and exercises that will facilitate application of effective sales techniques. "
136,ADV,390,"Explores theories of creativity; situates creativity and creative practices within the social structure of organizations that develop creative content; examines the relationship between creative strategy, creative concepts and creative executions; exposes students to the practice of creating content for traditional and non-traditional media vehicles. "
137,ADV,393,"Provides a critical understanding of advertising's role in modern society. Advertising will be studied as a cultural force and social institution. Its role will be examined in relation to communications, economics, and political and legal systems. "
138,ADV,396,"Supervised participation in research and scholarly activities, usually as an assistant to an investigator. "
139,ADV,400,"Special projects, research, and independent reading in advertising for students capable of individual work under the guidance of a faculty adviser. "
140,ADV,409,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluating an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. "
141,ADV,410,"Examines the intersection of public relations strategies and communication tactics used by organizations to meet reputation and relationship management objectives with relevant publics and stakeholder groups, such as journalists, consumers, employees, investors, government officials and agencies and community members. "
142,ADV,452,"Planning and execution of advertising across media, with emphasis on the creation of campaigns "
143,ADV,460,This course is intended to improve creative and critical thinking skill in advertising planning by understanding the core technology and perspective of digital and other innovative media in the context of integrated communication. This will allow students to understand how consumers perceive and process digital advertising messages; to research critical questions in digital consumer behavior; to learn how to utilize digital and non-digital media in the context of integrated communication; to apply knowledge of digital communication technology to the real-world advertising cases. 
144,ADV,478,"Course is designed to familiarize students with theory and research at the intersection of advertising and psychology. Explores issues pertaining to advertising psychology, including: basic research methodology, the emergence of trends, attitudes and persuasion, human and brand personality, cross-cultural advertising, implicit consumer cognition, judgment and decision making, and others. "
145,ADV,482,Provides students with an understanding of the multiple qualitative methods used in advertising and consumer research; a deeper examination of design and analysis issues are covered with focus on analysis of texts to uncover consumer insights and test advertising strategy. 
146,ADV,483,"Analyzes audiences and matches consumer insights with strategic ideas for brand communication, contact, and connection. "
147,ADV,490,Covers current issues in various advertising areas not studied extensively in other courses. 
148,ADV,491,Application of analytical planning concepts to advertising planning and decision making; covers all of the decision making areas of advertising. 
149,ADV,494,"Addresses what makes a mass-mediated message persuasive by reviewing theories of mass communication and persuasion, consumer information-processing, and advertising effectiveness measures. "
150,ADV,495,"Seminar based on internship experience. Offered for College of Media students who complete an approved professional, industry related internship. "
151,ADV,496,Supervised investigation of student-driven research on special topics related to advertising in individual or collaborative format. Topic and nature of research may vary. Capstone paper required. Type of course: Lecture-discussion 
152,ADV,498,"This course is named after the founder of the Advertising Department, Charles H. Sandage (known as the ""father of advertising education""). His vision of educating the future of the industry was grounded in theoretical and foundational courses emphasizing the ""why of advertising"" - not just the ""how."" In this course, students will integrate the concepts, experiences, and skills that have been learned in the curriculum with a service-learning project. "
153,ADV,509,"Introduces students to the foundations of entrepreneurship and evolving business models for media. Students are introduced to the foundation and context of entrepreneurship. The course will cover the skills and practices necessary for new entrepreneurial ventures, as well as the processes of evaluation an idea, assessing the market, and implementing a new venture. Finally, students will examine business case studies for both successful and unsuccessful media start-ups. "
154,ADV,550,"Explores the development of American advertising through the 20th and into the early 21st century. Analyzes and evaluates American advertising through these primary areas: ethics, advertising philosophies, advertising structure, advertising education, its broader social impact, the role of media and technologies, and its place within a global framework. "
155,ADV,580,"Reviews classic and contemporary theories used in advertising research and practice with multidisciplinary emphasis. Through reading, discussion and independent research, students will understand how basic social science and humanities research and advertising scholarship are related; how theories and concepts are applied, adapted, constrained and combined when applied to advertising and other communication issues; and how research evolves over time."
156,ADV,582,Treatment of basic research concepts and procedures in the social sciences with emphasis on advertising. 
157,ADV,587,"Provides advertising students and faculty the opportunity to interact on significant topics. It draws on a wide range of perspectives to explore not only foundational theories and research in advertising, but also current issues, contemporary analytical approaches, and emerging trends in advertising scholarship and practice. "
158,ADV,590,May be repeated in the same or in multiple semesters if topics vary. Prerequisite: Consent of department.
159,ADV,598,"This course serves as a capstone, requiring the student to demonstrate a mastery of knowledge in the primary areas of advertising. "
160,ADV,599,Approved for S/U grading only. May be repeated in separate terms. Prerequisite: ADV 588 and consent of the department.
161,AE,100,Introduction to the Aerospace Engineering curriculum and career. Typical section topics include aircraft and rocket design and flight. Overviews of the topics are presented along with theory to be experimentally verified.
162,AE,199,Undergraduate Open Seminar. 
163,AE,202,"Fundamental principles of aerospace flight mechanics applied to spacecraft and aircraft. Orbital mechanics, rocket propulsion, and dynamics and control applied to spacecraft design. Aerodynamics, maneuvering, stability and flight performance applied to aircraft design. MATLAB examples and assignments. "
164,AE,298,Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites. 
165,AE,311,"Equations of motion for incompressible flow, both inviscid and viscous; potential flow theory, inviscid airfoil theory: two- and three-dimensional, Navier-Stokes equations, laminar boundary layer and transition to turbulence. "
166,AE,312,"Dynamics of compressible fluid; conservation of mass, momentum, and energy; one-dimensional and quasi-one-dimensional flow; oblique shock waves & Parandtl-Meyer expansion fans; unsteady wave motion; linearized theory. Application to nozzles, diffusers, airfoils, shock tubes and other geometries. "
167,AE,321,"Fundamental concepts in the linear theory of elasticity, including stress, strain, equilibrium, compatibility, material constitution and properties. Failure mechanisms and criteria. Application to plane stress-strain problems, beams in extension and bending, and shafts in torsion. "
168,AE,323,"Fundamental concepts of stress, strain, equilibrium, compatibility, material constitution and properties. Analysis of beams and shafts of monocoque and semi-monocoque construction. Energy methods. "
169,AE,352,Particle kinematics and dynamics; Lagrange's equations; vibration of multiple degree-of-freedom systems; rotational kinematics and dynamics of rigid bodies. 
